OTU_id	Taxonomy
OTU_21	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Pleosporaceae; g__Alternaria; NA; 
OTU_225	k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Filobasidiales; NA; NA; NA; 
OTU_260	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Polyporales; f__Coriolaceae; g__Trametes; s__Trametes_hirsuta; 
OTU_54	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Penicillium; s__Penicillium_chrysogenum; 
OTU_240	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; f__Cladosporiaceae; g__Cladosporium; s__Cladosporium_delicatulum; 
OTU_6623	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Penicillium; s__Penicillium_bialowiezense; 
OTU_429	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; NA; NA; NA; 
OTU_5960	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; NA; NA; NA; 
OTU_562	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Polyporales; f__Meruliaceae; g__Scopuloides; s__unidentified; 
OTU_783	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Hyaloscyphaceae; g__Lachnum; s__Lachnum_pulverulentum; 
OTU_3502	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae; g__Volutella; s__unidentified; 
OTU_1463	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Cortinariaceae; g__Gymnopilus; NA; 
OTU_750	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Auriculariales; f__Auriculariaceae; g__Auricularia; s__unidentified; 
OTU_2814	k__Fungi; p__Ascomycota; NA; NA; NA; NA; NA; 
OTU_1637	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Diaporthales; f__Schizoparmaceae; g__Coniella; NA; 
OTU_2806	k__Fungi; p__Basidiomycota; c__Microbotryomycetes; o__Leucosporidiales; f__Leucosporidiaceae; g__Leucosporidium; s__Leucosporidium_intermedium; 
OTU_1640	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Xylariales; f__Apiosporaceae; g__Arthrinium; s__Arthrinium_aureum; 
OTU_2154	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Helotiaceae; g__Claussenomyces; s__unidentified; 
OTU_3852	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Lasiosphaeriaceae; g__Schizothecium; s__Schizothecium_glutinans; 
OTU_1797	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Helotiaceae; g__Collophora; s__Collophora_hispanica; 
OTU_3496	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Saccharomycetaceae; g__Kazachstania; s__Kazachstania_unispora; 
OTU_6743	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; f__Mycosphaerellaceae; g__Mycosphaerella; s__Mycosphaerella_tassiana; 
OTU_3612	k__Fungi; p__Ascomycota; c__Orbiliomycetes; o__Orbiliales; f__Orbiliaceae; g__Retiarius; s__unidentified; 
OTU_6615	k__Fungi; NA; NA; NA; NA; NA; NA; 
OTU_6811	k__Fungi; NA; NA; NA; NA; NA; NA; 
